,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
58,0.2590901851654053,0.014824466910038022,0.006399774551391601,0.003199893181840804,0.8,0.05,8,30,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 0.8}",0.9282751091703056,0.9453903654485051,0.9284737150674223,0.9356129079538792,0.9308432675395739,0.9337190730359373,0.00640665993037182,79
60,0.6765123844146729,0.014827814795033334,0.009596872329711913,0.0031978861927383835,0.8,0.05,8,50,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 0.8}",0.92882096069869,0.9463919288645691,0.9322234707836623,0.9351304475278482,0.9257865937072502,0.933670680316404,0.00709554934305353,80
328,0.37584333419799804,0.05057563065683156,0.006398296356201172,0.0031991486134238622,1,0.1,8,30,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 0.8}",0.927049975739932,0.9481263435606802,0.9312219073675981,0.9322417920656634,0.9296951338675005,0.9336670305202748,0.0074383202737052494,81
29,0.5911713600158691,0.017518278088370573,0.007999801635742187,1.0095668564002246e-05,0.8,0.01,10,50,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 1}",0.933430373605046,0.9411581493062342,0.9314051201876098,0.9335487101817471,0.9286447136994332,0.9336374133960141,0.004159865036153606,82
296,0.8572397708892823,0.055263838903060525,0.01119542121887207,0.003917498230216891,1,0.05,10,50,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 0.8}",0.9331877729257642,0.9431246335743599,0.9286813562634356,0.9249010650771937,0.9382572796560484,0.9336304214993604,0.00651826245776505,83
419,0.6269358634948731,0.016462815879717208,0.015993928909301756,0.012387816185664537,1,0.2,12,30,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.931489568170791,0.936657221027946,0.9393321282001172,0.9220246238030096,0.9386481336720734,0.9336303349747874,0.0064206884870943405,84
329,0.34705467224121095,0.014830106866806733,0.007996129989624023,9.933789566039876e-07,1,0.1,8,30,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9318655992236777,0.9537509771350401,0.9274110807113543,0.9251392417432088,0.9299088821575141,0.9336151561941589,0.010320662577248207,85
345,0.4797990798950195,0.020232134143617634,0.007997894287109375,3.3399030700373574e-06,1,0.1,10,30,1,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 1}",0.9336365841824357,0.940516904436193,0.9336219953097518,0.9258354504592535,0.9343731678717999,0.9335968204518867,0.004663289756310242,86
360,0.7596818923950195,0.02372281743396905,0.007998371124267578,1.9867579132079753e-06,1,0.1,12,30,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.9300218340611353,0.944767441860465,0.9393199140121163,0.9220246238030096,0.9316738323236272,0.9335615292120707,0.007847604749357064,87
272,0.3102686405181885,0.010608203270601593,0.006396865844726563,0.0031984333879967655,1,0.05,8,30,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 0.8}",0.9284146045608928,0.9506180379128396,0.9290538889974593,0.9272706175493453,0.9324188977916749,0.9335552093624424,0.008701897714145857,88
70,0.9867872714996337,0.05414213372949826,0.01599459648132324,0.012387416410788638,0.8,0.05,8,100,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 0.8}",0.9285055798156236,0.944046804768419,0.9337746726597616,0.927264510455345,0.9341533124877859,0.933548976037387,0.005925384758448682,89
95,0.5757585048675538,0.01958667468918581,0.007993030548095702,0.005057251030987041,0.8,0.05,12,30,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9350072780203784,0.9442055892124291,0.9364251514559313,0.9213711647449677,0.9307272327535665,0.9335472832374545,0.007486304065158181,90
371,0.8796327590942383,0.029921009131120377,0.009596109390258789,0.003196956279409178,1,0.1,12,50,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 1}",0.9360262008733624,0.9392099863201094,0.9419093218682822,0.9163572405706469,0.9342265976157906,0.9335458694496384,0.008989927183561381,91
5,0.19991459846496581,0.007150216915903827,0.0031984329223632814,0.003917264460362229,0.8,0.01,8,30,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9293607472100922,0.9437109145983975,0.9266599081493063,0.9388924174320892,0.9290599960914598,0.9335367966962689,0.006587383055598368,92
53,1.375425148010254,0.04717442519495303,0.009596109390258789,0.003198028148902481,0.8,0.01,12,100,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 1}",0.935971615720524,0.9396008403361343,0.93562512214188,0.9275637580613642,0.9289012116474497,0.9335325095814705,0.0045656942406602,93
238,0.5133832454681396,0.06774316233469692,0.012797927856445313,0.009594393592313524,1,0.01,10,30,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 0.8}",0.9328056768558951,0.9416161813562635,0.9339334571037716,0.9272217607973422,0.932015829587649,0.9335185811401843,0.004651014781783502,94
4,0.1999152660369873,0.014298978513549297,0.007998371124267578,1.1376938888946108e-05,0.8,0.01,8,30,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 0.8}",0.9301370693837944,0.943686486222396,0.9285103576314248,0.9360404045339065,0.9290599960914598,0.9334868627725964,0.005764317163806721,95
31,2.342850160598755,0.1532108691153792,0.009601736068725586,0.0032055907888773947,0.8,0.01,10,100,0,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 1}",0.9327510917030567,0.9446941567324605,0.9296707054914989,0.9295119210474887,0.9307821965995701,0.933482014314815,0.005724039074839585,96
57,0.3166672706604004,0.03059240754891426,0.00639653205871582,0.0059825478340962395,0.8,0.05,8,30,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 1}",0.9276079573022806,0.9456224350205198,0.927203439515341,0.9334876392417433,0.9333532831737347,0.9334549508507239,0.006653236857374664,97
233,0.9851913928985596,0.16012417546698945,0.012791681289672851,0.003916662164087047,1,0.01,8,100,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 1}",0.9318292091217855,0.9428864569083447,0.9289195329294508,0.9293836720734805,0.9341777408637875,0.9334393223793699,0.005084542721704429,98
135,0.7836640357971192,0.03393134917817154,0.011196088790893555,0.008155782809775252,0.8,0.1,10,50,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 1}",0.9285904900533721,0.9393076998241155,0.9387824897400822,0.9309287668555795,0.9295729919874927,0.9334364876921283,0.004642194002067358,99
46,0.6941057205200195,0.029227374033867423,0.009597206115722656,0.0031990300398349403,0.8,0.01,12,50,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 0.8}",0.9331028626880156,0.9396802325581397,0.9349044850498338,0.9292981727574752,0.9301592730115301,0.9334290052129989,0.003717961227906367,100
281,0.6461300373077392,0.022276329112409354,0.011195755004882813,0.003916349380460856,1,0.05,8,50,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 1}",0.9290029112081514,0.9482729138166894,0.9307211256595662,0.9282538596834083,0.9308615888215751,0.9334224798378781,0.007491836727093753,101
423,0.8652429580688477,0.035544004148950266,0.009591627120971679,0.0031953822781573328,1,0.2,12,50,1,1,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 12, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 1}",0.9373968947113053,0.9434605237443815,0.9386114911080711,0.9130960523744382,0.9344953097518077,0.9334120543380007,0.010562179803550632,102
298,1.0896978378295898,0.13025349135595715,0.007998228073120117,1.7059844799040143e-06,1,0.05,10,50,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 0.8}",0.9321081999029598,0.9453598299785031,0.9287057846394372,0.925749951143248,0.9351304475278485,0.9334108426383994,0.00675661226947426,103
165,0.3758416175842285,0.010115998198159946,0.007993125915527343,5.964468564746409e-06,0.8,0.2,8,30,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 1}",0.9260553129548762,0.9489935509087356,0.9354235880398671,0.92171926910299,0.9348250928278288,0.9334033627668596,0.009377296770439986,104
110,0.4350119590759277,0.04840812811902302,0.006402921676635742,0.0032014685952262904,0.8,0.1,8,30,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 0.8}",0.928190198932557,0.9470392808286107,0.9307211256595661,0.932687609927692,0.9282782880594098,0.933383300681567,0.007029742739207427,105
75,0.3742375373840332,0.012800696820247832,0.006395149230957031,0.0031975799272543114,0.8,0.05,10,30,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 1}",0.9303675400291122,0.9430696697283564,0.9337563513777604,0.9270385479773304,0.9326082177056868,0.9333680653636491,0.0053649828400150704,106
150,1.0827512741088867,0.037710216593029824,0.007993221282958984,8.984300461491e-06,0.8,0.1,12,50,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 0.8}",0.9321688500727803,0.9480774868086769,0.9397474105921438,0.9214871995309751,0.9253346687512214,0.9333631231511597,0.009635263920047632,107
2,0.20630855560302735,0.005982663106431766,0.004800748825073242,0.003919796119157267,0.8,0.01,8,30,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 0.8}",0.9276018922852984,0.9451949384404925,0.9251880984952121,0.939124487004104,0.9295852061754935,0.93333892448012,0.00758258141398605,108
322,1.5881364345550537,0.07494764397133374,0.012793159484863282,0.003918841323681638,1,0.05,12,100,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 0.8}",0.9335274138767589,0.9461842876685558,0.9344464529998046,0.9194230017588431,0.933078463943717,0.9333319240495358,0.008485116415969957,109
293,0.5149835109710693,0.04893060255171961,0.007997608184814453,0.005057317497519128,1,0.05,10,30,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9356380397865115,0.9411459351182332,0.9328036447136994,0.9169801641586868,0.9400588723861638,0.933325331232659,0.00870962325196898,110
299,0.9595994472503662,0.14061503170695175,0.009595918655395507,0.003198480863773189,1,0.05,10,50,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 1}",0.9329815623483746,0.9413718975962478,0.933701387531757,0.9185680085987883,0.939967265976158,0.9333180244102651,0.008085795287271587,111
