,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
526,0.4522105693817139,0.03976118155962162,0.005507183074951172,0.003409268782018745,1,0.2,8,120,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 120, 'reg_lambda': 2, 'subsample': 0.8}",0.929973313925279,0.9453659370725034,0.927264510455345,0.9105432870822747,0.9182137971467657,0.9262721691364337,0.011760869677325815,533
180,0.5009481906890869,0.05574311123910265,0.003663444519042969,0.002980562216992033,0.8,0.15,10,100,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.15, 'max_depth': 10, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 0.8}",0.9391072295002426,0.9443033027164354,0.9260186632792651,0.9070256009380495,0.9147327535665428,0.9262375100001069,0.01409615061478232,534
278,0.45244150161743163,0.022103172382798145,0.003198385238647461,0.003917205918493602,0.8,0.2,12,100,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",0.9343158660844252,0.9448773695524721,0.9211574164549541,0.9112150674223178,0.9191787179988274,0.9261488875025993,0.01194966616579243,535
174,0.4188835620880127,0.004362394641735306,0.0032073497772216798,0.0029940726768573557,0.8,0.15,10,80,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.15, 'max_depth': 10, 'n_estimators': 80, 'reg_lambda': 0, 'subsample': 0.8}",0.9365963124696749,0.9464285714285714,0.9254079538792261,0.9061217510259918,0.9160641000586282,0.9261237377724185,0.01430908258353659,536
272,0.5767982482910157,0.0836295988443026,0.009595489501953125,0.0031986952303372216,0.8,0.2,12,80,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 12, 'n_estimators': 80, 'reg_lambda': 1, 'subsample': 0.8}",0.9324357108199903,0.9460132890365448,0.921438342778972,0.910811999218292,0.9195573578268517,0.9260513399361301,0.012123767198294137,537
284,0.48142690658569337,0.0141955917109944,0.00479741096496582,0.003917069668581287,0.8,0.2,12,120,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 12, 'n_estimators': 120, 'reg_lambda': 1, 'subsample': 0.8}",0.9349830179524502,0.9442178034004299,0.9214017002149697,0.9118746335743599,0.917126734414696,0.9259207779113812,0.01193278484925528,538
172,0.3507550716400146,0.008342573191584633,0.0027109622955322266,0.0028345581143404876,0.8,0.15,10,70,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.15, 'max_depth': 10, 'n_estimators': 70, 'reg_lambda': 2, 'subsample': 0.8}",0.9298156234837458,0.9422635333203049,0.927985147547391,0.9112517099863202,0.9173710181747117,0.9257374065024948,0.010720344382149251,539
560,0.4588351249694824,0.016718130139496325,0.004797172546386719,0.003916874994822558,1,0.2,12,80,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 12, 'n_estimators': 80, 'reg_lambda': 1, 'subsample': 0.8}",0.9283842794759827,0.9430452413523548,0.9267637287473129,0.9035811999218292,0.9268858706273206,0.9257320640249601,0.012647819877424164,540
166,0.419338321685791,0.02080387522983939,0.005320596694946289,0.0017393892914695397,0.8,0.15,8,120,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 120, 'reg_lambda': 2, 'subsample': 0.8}",0.9244177583697233,0.947845417236662,0.9297562048075044,0.9073920265780732,0.9188367207348056,0.9256496255453538,0.013347585929944842,541
566,0.5010798931121826,0.005248354979526386,0.006384658813476563,0.0022946166335418663,1,0.2,12,100,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",0.929706453178069,0.9426177447723275,0.9276920070353724,0.9043751221418801,0.9235758256791089,0.9255934305613515,0.01237283794657995,542
