,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
661,0.771150016784668,0.0849334160668181,0.010481119155883789,0.0017305289044607678,0.8,0.2,8,21,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 21, 'reg_lambda': 2, 'subsample': 1}",0.9308959694989106,0.9425481296505644,0.9339598764911333,0.9442691548416489,0.9332849646514924,0.93699161902675,0.005365165989525971,490
640,0.515321922302246,0.042005357483341256,0.009396886825561524,0.001845848930453958,0.8,0.2,8,15,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 15, 'reg_lambda': 0, 'subsample': 0.8}",0.9313214869281046,0.9423287833026811,0.93291376313969,0.9388529873285303,0.9394772807801981,0.9369788602958409,0.004169101139126981,491
63,0.37805681228637694,0.026761666571017924,0.010156488418579102,0.002603543894599012,0.8,0.05,8,21,5,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 21, 'reg_lambda': 5, 'subsample': 1}",0.939593545751634,0.9442691548416488,0.9287968009178801,0.9313024111225471,0.9408524136534666,0.9369628652574352,0.005901801112998333,492
117,0.7814607620239258,0.06953855101895966,0.011239337921142577,0.003807761331270971,0.8,0.05,9,30,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9394488698257081,0.9334874382033846,0.933757402939241,0.9417466718409908,0.9363642499198542,0.9369609265458356,0.0032179784820009823,493
152,1.998630952835083,0.16242978152913837,0.012467432022094726,0.0038834146680355,0.8,0.05,10,30,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.9396956699346405,0.9338755125111783,0.9375369092412303,0.9374187996692933,0.9362714495419037,0.9369596681796493,0.0018981767911327514,494
1496,0.6325968265533447,0.022712465488045567,0.005780458450317383,0.0007457157970160237,1,0.2,9,21,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 21, 'reg_lambda': 0, 'subsample': 0.8}",0.9404616013071895,0.939426662392225,0.9318001586042823,0.9436786069819629,0.929404221573557,0.9369542501718433,0.005425843720669701,495
202,0.18891324996948242,0.019054752622592444,0.007923078536987305,0.0017819525909929632,0.8,0.1,5,15,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 15, 'reg_lambda': 1, 'subsample': 0.8}",0.9360617510893248,0.945905816052778,0.9274975956265713,0.9336308569693084,0.9416369986670491,0.9369466036810064,0.006376961424150554,496
351,0.7667576789855957,0.04374000301702235,0.013448429107666016,0.0021772166034655345,0.8,0.1,10,22,5,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 22, 'reg_lambda': 5, 'subsample': 1}",0.9426317401960784,0.9359171208260921,0.9237940169065416,0.9429783859483356,0.939409789596234,0.9369462106946564,0.007054372153560444,497
1493,0.4913020133972168,0.019045100761749385,0.006882667541503906,0.002142960445216315,1,0.2,9,20,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 20, 'reg_lambda': 2, 'subsample': 1}",0.9464018246187363,0.9454333777650293,0.92088345959809,0.9434761334300708,0.9284087266100866,0.9369207044044027,0.01034386663605514,498
1275,0.6278868675231933,0.042885455309480194,0.00809493064880371,0.001545750076500324,1,0.13,8,30,1,1,"{'colsample_bytree': 1, 'learning_rate': 0.13, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 1}",0.9375680827886711,0.9394772807801981,0.9331078002935866,0.9415357618911029,0.9328293991597348,0.9369036649826586,0.003450492770521289,499
1119,0.6970184326171875,0.052419463959493144,0.008442211151123046,0.0024649314492535537,1,0.1,9,30,5,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 30, 'reg_lambda': 5, 'subsample': 1}",0.9446572031590414,0.9415779438810805,0.9246798386960703,0.9453743229790609,0.9282146894561898,0.9369007996342885,0.008702166030340118,500
534,0.6190826416015625,0.06522858140095081,0.009486722946166991,0.0012919024323034911,0.8,0.13,10,20,5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.13, 'max_depth': 10, 'n_estimators': 20, 'reg_lambda': 5, 'subsample': 0.8}",0.9419253812636166,0.9344913695648506,0.9338080213272141,0.9374525452612753,0.9367860698196298,0.9368926774473174,0.0028612692212956026,501
